      eval;                   phi;                    x1;                    x2;                    x3;                    x4;                    x5
         1;    717196132.29195964;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         2;    717196132.29195964;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         3;    717196132.29195964;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         4;    717196131.40169907;            0.50000001;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         5;    717196131.40169907;            0.50000001;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         6;    717196127.05172598;            0.50000000;            0.50000000;            1.50000002;          200.00000000;         1000.00000000
         7;    717196102.63910973;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
         8;    717196102.63910973;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
         9;    717196102.63910973;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
        10;    539135888.90884256;            0.66314952;            0.48002194;            1.68715090;          204.73638426;         1034.35007973
        11;    539135888.71356726;            0.66314953;            0.48002194;            1.68715090;          204.73638426;         1034.35007973
        12;    539135888.71356726;            0.66314953;            0.48002194;            1.68715090;          204.73638426;         1034.35007973
        13;    539135884.58811808;            0.66314952;            0.48002194;            1.68715093;          204.73638426;         1034.35007973
        14;    539135861.67681134;            0.66314952;            0.48002194;            1.68715090;          204.73638731;         1034.35007973
        15;    539135861.67681134;            0.66314952;            0.48002194;            1.68715090;          204.73638731;         1034.35007973
        16;    274635771.81325573;            0.71878068;            0.43968557;            2.05739495;          215.29006953;         1106.09446510
        17;    274635771.81325573;            0.71878068;            0.43968557;            2.05739495;          215.29006953;         1106.09446510
        18;    274635771.81325573;            0.71878068;            0.43968557;            2.05739495;          215.29006953;         1106.09446510
        19;    274635768.87781435;            0.71878068;            0.43968557;            2.05739498;          215.29006953;         1106.09446510
        20;    274635751.08763778;            0.71878068;            0.43968557;            2.05739495;          215.29007274;         1106.09446510
        21;    274635751.08763778;            0.71878068;            0.43968557;            2.05739495;          215.29007274;         1106.09446510
        22;    274635751.08763778;            0.71878068;            0.43968557;            2.05739495;          215.29007274;         1106.09446510
        23;    229922943.50393540;            0.65552011;            0.43112338;            2.11416938;          217.30534077;         1119.65246310
        24;    229922943.50393540;            0.65552011;            0.43112338;            2.11416938;          217.30534077;         1119.65246310
        25;    229922943.50393540;            0.65552011;            0.43112338;            2.11416938;          217.30534077;         1119.65246310
        26;    229922940.81506091;            0.65552011;            0.43112338;            2.11416941;          217.30534077;         1119.65246310
        27;    229922924.45012233;            0.65552011;            0.43112338;            2.11416938;          217.30534401;         1119.65246310
        28;    229922924.45012233;            0.65552011;            0.43112338;            2.11416938;          217.30534401;         1119.65246310
        29;    143173060.60085869;            0.47715655;            0.41478666;            2.22225565;          221.05919776;         1143.49001745
        30;    143173060.60085869;            0.47715655;            0.41478666;            2.22225565;          221.05919776;         1143.49001745
        31;    143173060.60085869;            0.47715655;            0.41478666;            2.22225565;          221.05919776;         1143.49001745
        32;    143173058.47478023;            0.47715655;            0.41478666;            2.22225569;          221.05919776;         1143.49001745
        33;    143173045.59805515;            0.47715655;            0.41478666;            2.22225565;          221.05920105;         1143.49001745
        34;    143173045.59805515;            0.47715655;            0.41478666;            2.22225565;          221.05920105;         1143.49001745
        35;     16931316.70515474;            0.11712878;            0.39112283;            2.44070566;          227.48474369;         1168.63053683
        36;     16931316.70515474;            0.11712878;            0.39112283;            2.44070566;          227.48474369;         1168.63053683
        37;     16931316.70515474;            0.11712878;            0.39112283;            2.44070566;          227.48474369;         1168.63053683
